countyName,geometry,countyFIPS,stateName,population,2020-10-25,case_rate_100k
Hinds,"POLYGON ((-90.728622 32.225119, -90.705175 32.346788, -90.636162 32.374498, -90.553821 32.507574, -90.522217 32.50311, -90.45003699999999 32.573783, -90.44986399999999 32.488394, -90.243641 32.487533, -90.243764 32.400098, -90.12348799999999 32.399451, -90.065697 32.399529, -90.15858 32.286748, -90.17970099999999 32.276162, -90.19485499999999 32.187855, -90.25479899999999 32.151188, -90.23033099999999 32.049728, -90.71829699999999 32.048352, -90.728622 32.225119))",28049,MS,231840.0,7987.0,3445.048309178744
Lee,"POLYGON ((-88.82496599999999 34.364759, -88.78944199999999 34.49493, -88.736465 34.50891, -88.541749 34.509192, -88.542079 34.465276, -88.543352 34.089044, -88.71245399999999 34.089241, -88.718964 34.074521, -88.824523 34.074948, -88.82496599999999 34.364759))",28081,MS,85436.0,3600.0,4213.680415749801
Livingston,"POLYGON ((-93.761973 39.959552, -93.36195699999999 39.967606, -93.364808 39.703803, -93.26696799999999 39.703562, -93.261386 39.623253, -93.278098 39.615632, -93.75835699999999 39.611407, -93.75899199999999 39.784674, -93.761973 39.959552))",29117,MO,15227.0,557.0,3657.9759637486045
Graves,"POLYGON ((-88.81938699999999 36.749969, -88.81322899999999 36.773115, -88.81289699999999 36.946864, -88.48410299999999 36.942096, -88.485697 36.750328, -88.48907673871319 36.5012837190757, -88.51191999999999 36.50145699999999, -88.5163580599794 36.5014641981633, -88.81676415734809 36.5019514318132, -88.81938699999999 36.749969))",21083,KY,37266.0,873.0,2342.6179359201415
Franklin,"POLYGON ((-91.153864 31.610068, -90.73733 31.611124, -90.63323099999999 31.611409, -90.633302 31.349306, -91.018012 31.347502, -91.065741 31.338898, -91.095398 31.320975, -91.11796699999999 31.320314, -91.15814999999999 31.346695, -91.153864 31.610068))",28037,MS,7713.0,246.0,3189.420458965383
Garvin,"POLYGON ((-97.668099 34.85516399999999, -96.932436 34.854496, -96.932452 34.636812, -97.20007299999999 34.622762, -97.143973 34.506606, -97.352183 34.506796, -97.56232299999999 34.507036, -97.56300399999999 34.681185, -97.66851199999999 34.68134, -97.668099 34.85516399999999))",40049,OK,27711.0,653.0,2356.464941719895
Houston,"POLYGON ((-87.98074 36.353307, -87.821816 36.328724, -87.71549399999999 36.36824, -87.59235799999999 36.367663, -87.586957 36.34178, -87.513533 36.334713, -87.52362699999999 36.24889, -87.56679799999999 36.177857, -87.58581 36.197334, -87.798508 36.244754, -87.949603 36.24316, -87.944295 36.264177, -87.98074 36.353307))",47083,TN,8201.0,420.0,5121.326667479576
Hale,"POLYGON ((-102.090415 34.313132, -101.99802 34.313039, -101.564856 34.312493, -101.564563 34.074228, -101.56358 33.830451, -102.085733 33.824675, -102.090415 34.313132))",48189,TX,33406.0,2508.0,7507.633359276777
Williamsburg,"POLYGON ((-76.740465 37.305737, -76.727859 37.305927, -76.68167 37.292608, -76.680151 37.265997, -76.66451599999999 37.250586, -76.74114299999999 37.27338, -76.740465 37.305737))",51830,VA,14954.0,213.0,1424.3680620569746
Emporia,"POLYGON ((-77.56388799999999 36.703067, -77.514877 36.720565, -77.50836799999999 36.685474, -77.52572499999999 36.672831, -77.549961 36.672173, -77.56388799999999 36.703067))",51595,VA,5346.0,289.0,5405.910961466517
Scott,"POLYGON ((-82.947587 36.67587, -82.823358 36.733603, -82.77159499999999 36.800031, -82.61774 36.880773, -82.411098 36.885044, -82.406633 36.876356, -82.35635599999999 36.779852, -82.332078 36.708969, -82.30783099999999 36.619682, -82.29413642012909 36.5950730329585, -82.48723799999999 36.595822, -82.609181949399 36.5950896860685, -82.830433 36.593761, -82.98445849557238 36.59528996905, -82.947587 36.67587))",51169,VA,21566.0,343.0,1590.4664750069553
Lincoln,"POLYGON ((-90.04227299999999 45.381866, -90.043414 45.555082, -89.428258 45.555353, -89.424824 45.467166, -89.42597099999999 45.119098, -90.043685 45.120214, -90.04227299999999 45.381866))",55069,WI,27593.0,779.0,2823.1797919762257
Sandoval,"POLYGON ((-107.624283 36.219809, -106.885053 36.21657, -106.885317 35.998969, -106.247164 36.001434, -106.248161 35.966327, -106.399713 35.960095, -106.418646 35.81922, -106.250499 35.755818, -106.248848 35.443282, -106.245162 35.238661, -106.244216 35.215657, -106.598725 35.217852, -106.630814 35.219392, -106.72899 35.217978, -106.763062 35.217994, -107.197244 35.219459, -107.23889 35.305507, -107.309386 35.305687, -107.308667 35.998556, -107.626511 36.000288, -107.624283 36.219809))",35043,NM,146748.0,1932.0,1316.542644533486
Kanabec,"POLYGON ((-93.51808 45.981789, -93.432492 45.981398, -93.431831 46.153991, -93.053871 46.15812, -93.055081 45.981233, -93.14286899999999 45.981005, -93.14179299999999 45.730657, -93.513683 45.73431799999999, -93.51808 45.981789))",27065,MN,16337.0,215.0,1316.0310950602925
Worth,"POLYGON ((-84.00844499999999 31.801645, -83.939437 31.847929, -83.84532299999999 31.83119, -83.802723 31.803579, -83.796846 31.622929, -83.718774 31.622028, -83.649384 31.567977, -83.650566 31.490338, -83.66577699999999 31.485135, -83.651764 31.433918, -83.65409 31.330661, -83.714134 31.318365, -83.759086 31.332225, -83.99942999999999 31.334966, -83.99779599999999 31.443753, -83.996246 31.625169, -84.01840399999999 31.650274, -84.00844499999999 31.801645))",13321,GA,20247.0,605.0,2988.0970020249915
Person,"POLYGON ((-79.1383358988714 36.5416382700559, -78.942009 36.542113, -78.79627395514049 36.5417594935816, -78.802335 36.235794, -78.950597 36.23932, -79.15399699999999 36.241875, -79.1383358988714 36.5416382700559))",37145,NC,39490.0,629.0,1592.8083059002279
Clay,"POLYGON ((-98.278103 40.698291, -97.825723 40.698555, -97.82477999999999 40.69853699999999, -97.82411399999999 40.350541, -98.27357099999999 40.350359, -98.27808999999999 40.350347, -98.278103 40.698291))",31035,NE,6203.0,160.0,2579.3970659358374
Thayer,"POLYGON ((-97.82081599999999 40.350545, -97.36868799999999 40.350392, -97.36919903531501 40.0019393057605, -97.41583299999999 40.002001, -97.77715499999999 40.002167, -97.8215008122752 40.00218688208889, -97.82081599999999 40.350545))",31169,NE,5003.0,60.0,1199.2804317409555
Randolph,"POLYGON ((-80.236831 38.743765, -80.126105 38.745836, -80.08506199999999 38.947236, -79.89609399999999 38.973404, -79.825092 39.115803, -79.785685 39.037404, -79.508765 38.975173, -79.35766599999999 38.964509, -79.349867 38.957509, -79.519474 38.89201, -79.51007299999999 38.780712, -79.626774 38.664214, -79.73917999999999 38.679613, -79.776483 38.739811, -79.86324999999999 38.55082, -80.029208 38.459184, -80.11691999999999 38.473953, -80.24551799999999 38.388457, -80.183931 38.525386, -80.28005899999999 38.694867, -80.236831 38.743765))",54083,WV,28695.0,408.0,1421.8504966021956
Henderson,"POLYGON ((-88.60357499999999 35.626084, -88.60686199999999 35.789354, -88.56954999999999 35.824451, -88.179177 35.816785, -88.19046499999999 35.609088, -88.24305699999999 35.528858, -88.247243 35.439296, -88.241677 35.423263, -88.258409 35.416689, -88.360829 35.418972, -88.36400499999999 35.492801, -88.505354 35.51203, -88.56556999999999 35.587088, -88.61361099999999 35.588089, -88.60357499999999 35.626084))",47077,TN,28117.0,1416.0,5036.099157093573
Kent,"POLYGON ((-101.038788 33.397214, -100.517449 33.397866, -100.519208 32.962926, -100.65587 32.963469, -100.990177 32.965064, -101.03866 32.970225, -101.038788 33.397214))",48263,TX,762.0,10.0,1312.3359580052493
Manatee,"POLYGON ((-82.719852 27.528933, -82.65071999999999 27.523115, -82.58462899999999 27.596021, -82.55288720706359 27.6454475963655, -82.054349 27.646382, -82.055753 27.338264, -82.05649699999999 27.207769, -82.24869199999999 27.20889, -82.25358899999999 27.21051, -82.252264 27.386243, -82.64817061685949 27.38972, -82.69182099999999 27.437218, -82.74301699999999 27.531086, -82.719852 27.528933))",12081,FL,403253.0,12971.0,3216.5910730980304
Canyon,"POLYGON ((-117.023577 43.823811, -116.98554503849 43.8811848528138, -116.95452 43.836487, -116.853154 43.79271, -116.712672 43.807161, -116.512502 43.807161, -116.473492 43.634103, -116.473597 43.459218, -116.513364 43.45932, -116.511897 43.29052, -116.579167 43.306178, -116.622569 43.370009, -116.781336 43.47863299999999, -116.844978 43.5944, -116.911538 43.603076, -117.025663810446 43.680293635954, -117.023577 43.823811))",16027,ID,229849.0,9736.0,4235.824389055423
Hardin,"POLYGON ((-88.41269699999999 37.599625, -88.375434 37.599595, -88.179677 37.599228, -88.13224601626969 37.5747532482337, -88.13162199999999 37.572968, -88.072242 37.528826, -88.0662503200971 37.50413832734819, -88.06229399999999 37.487837, -88.157061 37.466937, -88.281667 37.452596, -88.358436 37.40486, -88.4161677851135 37.4212962559201, -88.41269699999999 37.599625))",17069,IL,3821.0,53.0,1387.0714472651139
Kenton,"POLYGON ((-84.607928 39.073238, -84.550844 39.09936, -84.50651873743691 39.101766408188, -84.4508 38.993609, -84.450774 38.819526, -84.41810699999999 38.806596, -84.53228799999999 38.791937, -84.615664 38.802277, -84.597932 38.879431, -84.62202768365981 39.0783275466544, -84.607928 39.073238))",21117,KY,166998.0,2606.0,1560.4977305117427
St. Helena,"POLYGON ((-90.850499 30.700267, -90.849041 30.719311, -90.840953 30.846919, -90.85829299999999 30.858894, -90.861408 30.870715, -90.85798299999999 30.873144, -90.845366 30.888574, -90.863041 30.941981, -90.8258291412919 30.9995253553406, -90.758775 30.999583, -90.56719540065849 30.9999450243999, -90.567171 30.824806, -90.567165 30.650023, -90.91070099999999 30.649385, -90.850499 30.700267))",22091,LA,10132.0,432.0,4263.718910382945
Rock,"POLYGON ((-96.45331499999999 43.552299, -96.45290957436629 43.8495068930184, -96.4529095716932 43.8495088526372, -96.06461999999999 43.849039, -96.05231999999999 43.84907, -96.05316283451 43.5001877081575, -96.19848399999999 43.500335, -96.45326 43.50039, -96.45331499999999 43.552299))",27133,MN,9315.0,340.0,3650.0268384326355
McDonald,"POLYGON ((-94.618307 36.76656, -94.06889799999999 36.747818, -94.07708826689348 36.4989759572219, -94.36120299999999 36.4996, -94.617919 36.499414, -94.61781499999999 36.612604, -94.61799177841719 36.6679212723442, -94.618307 36.76656))",29119,MO,22837.0,1215.0,5320.313526295047
Cimarron,"POLYGON ((-103.002518 36.675186, -103.001964 36.909573, -103.002199 37.000104, -102.841989 36.999598, -102.698142 36.995149, -102.355288 36.994506, -102.04224 36.993083, -102.028204191045 36.9931451471083, -102.032339018963 36.5000656730101, -102.162463 36.500326, -103.002434 36.500397, -103.002188 36.602716, -103.002518 36.675186))",40025,OK,2137.0,37.0,1731.399157697707
Henry,"POLYGON ((-84.34190199999999 41.485519, -83.882943 41.487543, -83.883234 41.414503, -83.88114899999999 41.167824, -84.228222 41.165862, -84.228454 41.42781, -84.34166399999999 41.427568, -84.34190199999999 41.485519))",39069,OH,27006.0,503.0,1862.549063171147
Scott,"POLYGON ((-84.785341 36.603372, -84.77845586435049 36.6032105122159, -84.499938 36.596678, -84.2613212015047 36.592741697267, -84.251132 36.53418, -84.26687699999999 36.511698, -84.331034 36.50898, -84.34993899999999 36.466292, -84.329927 36.285086, -84.372731 36.216778, -84.403633 36.174778, -84.441034 36.163478, -84.573741 36.229977, -84.700785 36.370824, -84.659115 36.395222, -84.73183899999999 36.524674, -84.7853999785503 36.6033754199356, -84.785341 36.603372))",47151,TN,22068.0,384.0,1740.0761283306144
Colusa,"POLYGON ((-122.78509 39.38297499999999, -122.739062 39.383266, -122.192334 39.385257, -122.136161 39.414499, -122.008857 39.413567, -121.890013 39.383864, -121.899109 39.35728599999999, -121.908269 39.303878, -121.945514 39.179843, -121.889101 39.072373, -121.795366 38.995686, -121.835488 38.924481, -122.340172 38.924246, -122.409118 38.962793, -122.413416 39.020218, -122.491278 39.052991, -122.47729 39.17395, -122.680927 39.238726, -122.775043 39.311778, -122.743482 39.36813, -122.78509 39.38297499999999))",06011,CA,21547.0,550.0,2552.5595210470137
Clayton,"POLYGON ((-84.458556 33.594436, -84.45805299999999 33.629241, -84.45772599999999 33.648866, -84.350224 33.647908, -84.281273 33.647411, -84.24389699999999 33.590294, -84.283879 33.549078, -84.29468 33.435715, -84.353824 33.397291, -84.3544 33.352514, -84.38811799999999 33.352465, -84.38167299999999 33.463258, -84.39747899999999 33.485738, -84.43721599999999 33.54628, -84.458665 33.550933, -84.458556 33.594436))",13063,GA,292256.0,8137.0,2784.202890616446
Cherokee,"POLYGON ((-84.64429299999999 34.355168, -84.653232 34.41259, -84.58283 34.412191, -84.58262999999999 34.381492, -84.424525 34.38707, -84.400774 34.373266, -84.25758599999999 34.380992, -84.25807499999999 34.335156, -84.25868899999999 34.237094, -84.258743 34.185909, -84.35230199999999 34.176717, -84.418927 34.073298, -84.51543099999999 34.078698, -84.57168299999999 34.076299, -84.62421499999999 34.081779, -84.65924099999999 34.07824, -84.64429299999999 34.355168))",13057,GA,258773.0,7037.0,2719.3718046318586
Henry,"POLYGON ((-85.596678 39.872926, -85.57619199999999 39.945756, -85.57619699999999 40.077143, -85.21438599999999 40.076889, -85.213543 40.015603, -85.20147299999999 40.004521, -85.20094499999999 39.873799, -85.22111799999999 39.788449, -85.30158399999999 39.787579, -85.59691599999999 39.786519, -85.596678 39.872926))",18065,IN,47972.0,1326.0,2764.112398899358
Lane,"POLYGON ((-100.688006 38.700021, -100.2472 38.698165, -100.244393 38.26229, -100.684699 38.264137, -100.688006 38.700021))",20101,KS,1535.0,22.0,1433.2247557003257
Spencer,"POLYGON ((-85.516476 38.011257, -85.43612899999999 38.104761, -85.42882999999999 38.118383, -85.424054 38.147438, -85.232406 38.089431, -85.196117 38.074822, -85.101646 38.03727, -85.169186 37.997916, -85.167834 37.971809, -85.399559 37.939929, -85.48920199999999 37.990654, -85.516476 38.011257))",21215,KY,19351.0,293.0,1514.1336365045734
